Labels,Affinity (kcal/mol)
A29B25,-10.3
A29B26,-8.7
A29B27,-10.6
A29B28,-7.6
A29B29,-10.2
A29B30,-9.3
A29B31,-7.9
A29B32,-10.5
A29B33,-9.7
A29B34,-9.1
A29B35,-10
A29B36,-7.4
A29B37,-9.1
A29B38,-10.3
A29B39,-7.6
A29B40,-10.2
A29B41,-10.5
A29B42,-10.9
A29B43,-10.2
A29B44,-10.5
A29B45,-10.5
A29B46,-10.1
A29B47,-10.4
A29B48,-10.7
A29B49,-8.4
A29B50,-7.8
A30B01,-10.6
A30B02,-10.9
A30B03,-9.6
A30B04,-11.1
A30B05,-9.8
A30B06,-9.9
A30B07,-10.5
A30B08,-11.4
A30B09,-9.3
A30B10,-11.2
A30B11,-10.9
A30B12,-10.9
A30B13,-9.7
A30B14,-9.4
A30B15,-10.9
A30B16,-8.9
A30B17,-10.7
A30B18,-10.9
A30B19,-11.2
A30B20,-10.7
A30B21,-9.1
A30B22,-9.3
A30B23,-11.2
A30B24,-8.9
A30B25,-11.2
A30B26,-10.4
A30B27,-11.3
A30B28,-9.4
A30B29,-11.3
A30B30,-10.6
A30B31,-10.3
A30B32,-10
A30B33,-11
A30B34,-8.9
A30B35,-9.5
A30B36,-8.4
A30B37,-8.9
A30B38,-10.8
A30B39,-9.2
A30B40,-10.6
A30B41,-10.2
A30B42,-11.6
A30B43,-10.9
A30B44,-10.6
A30B45,-11.2
A30B46,-10.4
A30B47,-10.8
A30B48,-11
A30B49,-9.1
A30B50,-9.5
A31B01,-9.8
A31B02,-10
A31B03,-10.1
A31B04,-9.9
A31B05,-8.5
A31B06,-8.3
A31B07,-9.4
A31B08,-10.5
A31B09,-7.7
A31B10,-10.4
A31B11,-9.8
A31B12,-9.8
A31B13,-9.1
A31B14,-8.3
A31B15,-9.5
A31B16,-7.6
A31B17,-9.7
A31B18,-10.1
A31B19,-10
A31B20,-10.6
A31B21,-8.3
A31B22,-7.8
A31B23,-10.1
A31B24,-9.2
A31B25,-10.4
A31B26,-10.3
A31B27,-10.1
A31B28,-9.5
A31B29,-10.1
A31B30,-10.5
A31B31,-9.6
A31B32,-7.9
A31B33,-9.8
A31B34,-7.6
A31B35,-8.2
A31B36,-7.2
A31B37,-7.6
A31B38,-10.1
A31B39,-7.7
A31B40,-9.7
A31B41,-9.6
A31B42,-10.9
A31B43,-10
A31B44,-9.6
A31B45,-10.3
A31B46,-10
A31B47,-9.8
A31B48,-10.3
A31B49,-8.8
A31B50,-7.6
A32B01,-10.7
A32B02,-10.6
A32B03,-10.8
A32B04,-10.9
A32B05,-10.2
A32B06,-9.6
A32B07,-10.7
A32B08,-11.5
A32B09,-9.5
A32B10,-11.1
A32B11,-11
A32B12,-10.8
A32B13,-9
A32B14,-10.2
A32B15,-10.9
A32B16,-8.6
A32B17,-10.3
A32B18,-11
A32B19,-10.7
A32B20,-11.4
A32B21,-10
A32B22,-9.7
A32B23,-11.2
A32B24,-9.7
A32B25,-10.8
A32B26,-10.6
A32B27,-10.1
A32B28,-9.5
A32B29,-10.8
A32B30,-10.3
A32B31,-9.6
A32B32,-10.2
A32B33,-10.8
A32B34,-9.8
A32B35,-9.7
A32B36,-9.1
A32B37,-8.6
A32B38,-11
A32B39,-9.9
A32B40,-10.5
A32B41,-10.9
A32B42,-9.3
A32B43,-10.8
A32B44,-10.5
A32B45,-11.2
A32B46,-10.9
A32B47,-10.8
A32B48,-11.3
A32B49,-9.9
A32B50,-9.9
A33B01,-9.9
A33B02,-10.2
A33B03,-10.3
A33B04,-10.1
A33B05,-10
A33B06,-8
A33B07,-9.9
A33B08,-10.8
A33B09,-9.4
A33B10,-10.5
A33B11,-10.4
A33B12,-10.1
A33B13,-7.2
A33B14,-9.7
A33B15,-10
A33B16,-9.1
A33B17,-9.8
A33B18,-10.3
A33B19,-10.1
A33B20,-11
A33B21,-9
A33B22,-8
A33B23,-10.5
A33B24,-9.1
A33B25,-9.2
A33B26,-10.2
A33B27,-10.2
A33B28,-9.4
A33B29,-10.5
A33B30,-10.3
A33B31,-9.9
A33B32,-10.1
A33B33,-9.6
A33B34,-7.6
A33B35,-8.8
A33B36,-9.1
A33B37,-7.3
A33B38,-10.5
A33B39,-7.9
A33B40,-9.3
A33B41,-10
A33B42,-10.8
A33B43,-10.1
A33B44,-9.9
A33B45,-10.4
A33B46,-9.9
A33B47,-7.9
A33B48,-10.4
A33B49,-9.4
A33B50,-9.3
A34B01,-10.5
A34B02,-10.7
A34B03,-10.8
A34B04,-11.1
A34B05,-10.8
A34B06,-10.4
A34B07,-10.6
A34B08,-11.1
A34B09,-9.6
A34B10,-11.3
A34B11,-12.1
A34B12,-11.2
A34B13,-10.3
A34B14,-9.9
A34B15,-11.1
A34B16,-9.2
A34B17,-11.1
A34B18,-10.9
A34B19,-11.4
A34B20,-11.2
A34B21,-10.4
A34B22,-10.1
A34B23,-10.9
A34B24,-10.5
A34B25,-11.2
A34B26,-11.3
A34B27,-11.5
A34B28,-10.3
A34B29,-11.1
A34B30,-10.4
A34B31,-10.9
A34B32,-12
A34B33,-10.9
A34B34,-9.9
A34B35,-11.3
A34B36,-9.8
A34B37,-9.5
A34B38,-11.2
A34B39,-11.4
A34B40,-11.4
A34B41,-11
A34B42,-11.6
A34B43,-11.4
A34B44,-11.5
A34B45,-10.7
A34B46,-10.3
A34B47,-10.3
A34B48,-11.5
A34B49,-10
A34B50,-10.5
A35B01,-10.6
A35B02,-11
A35B03,-10.6
A35B04,-10.8
A35B05,-10
A35B06,-10.5
A35B07,-10.6
A35B08,-11.2
A35B09,-9.5
A35B10,-10.9
A35B11,-10.8
A35B12,-10.4
A35B13,-10.2
A35B14,-9.5
A35B15,-10.8
A35B16,-9.7
A35B17,-10.6
A35B18,-11.1
A35B19,-10.8
A35B20,-10.3
A35B21,-9.6
A35B22,-9.4
A35B23,-11.4
A35B24,-10.2
A35B25,-10.5
A35B26,-9.8
A35B27,-10.7
A35B28,-9.5
A35B29,-11
A35B30,-10.9
A35B31,-10.4
A35B32,-10.3
A35B33,-10.6
A35B34,-8.9
A35B35,-10.4
A35B36,-9.7
A35B37,-9
A35B38,-11.2
A35B39,-9.2
A35B40,-10.5
A35B41,-10.7
A35B42,-11.6
A35B43,-10.8
A35B44,-10.7
A35B45,-10.8
A35B46,-10.8
A35B47,-10.8
A35B48,-11.1
A35B49,-10
A35B50,-9.3
A36B01,-10.3
A36B02,-10.7
A36B03,-11.2
A36B04,-11.1
A36B05,-11.8
A36B06,-11.5
A36B07,-10.7
A36B08,-11.5
A36B09,-8.8
A36B10,-11.1
A36B11,-11.2
A36B12,-11.2
A36B13,-10.2
A36B14,-10.5
A36B15,-10.7
A36B16,-8
A36B17,-10.8
A36B18,-10.9
A36B19,-10.7
A36B20,-12
A36B21,-9.3
A36B22,-9.8
A36B23,-11.7
A36B24,-8.7
A36B25,-10.8
A36B26,-9.7
A36B27,-11.1
A36B28,-8.5
A36B29,-11.1
A36B30,-10.9
A36B31,-10.5
A36B32,-9.1
A36B33,-11.1
A36B34,-8.8
A36B35,-9.6
A36B36,-8.1
A36B37,-8.7
A36B38,-11.5
A36B39,-10.5
A36B40,-10.7
A36B41,-10.6
A36B42,-11.4
A36B43,-10.7
A36B44,-11.1
A36B45,-11.1
A36B46,-10.9
A36B47,-11.2
A36B48,-11
A36B49,-8.3
A36B50,-9.6
A37B01,-10.4
A37B02,-11
A37B03,-8.9
A37B04,-11.3
A37B05,-10.6
A37B06,-8.9
A37B07,-11
A37B08,-11.6
A37B09,-10.2
A37B10,-11.4
A37B11,-10.7
A37B12,-11.1
A37B13,-10.6
A37B14,-10.7
A37B15,-11
A37B16,-8.3
A37B17,-10.9
A37B18,-11.3
A37B19,-11
A37B20,-11.6
A37B21,-9.5
A37B22,-9.6
A37B23,-9.4
A37B24,-8.1
A37B25,-9.2
A37B26,-10.9
A37B27,-11.1
A37B28,-10.5
A37B28,-10.5
A37B29,-11.2
A37B30,-11.2
A37B31,-10.9
A37B32,-9.1
A37B33,-10.7
A37B34,-8.1
A37B35,-9.5
A37B36,-7.8
A37B37,-8.2
A37B38,-11.1
A37B39,-8.6
A37B40,-11.1
A37B41,-10.9
A37B42,-11.8
A37B43,-11.6
A37B44,-10.9
A37B45,-11.4
A37B46,-11.2
A37B47,-11.2
A37B48,-11.1
A37B49,-10.2
A37B50,-10.7
A38B01,-10.9
A38B02,-11.1
A38B03,-11.4
A38B04,-11.3
A38B05,-10.9
A38B06,-10.3
A38B07,-10.7
A38B08,-11.5
A38B09,-9.6
A38B10,-11.2
A38B11,-10.9
A38B12,-11.2
A38B13,-10.4
A38B14,-10.3
A38B15,-11
A38B16,-9.2
A38B17,-10.9
A38B18,-10.7
A38B19,-11.2
A38B20,-12.1
A38B21,-9.6
A38B22,-9.6
A38B23,-11.8
A38B24,-9.3
A38B25,-11.3
A38B26,-11.1
A38B27,-11.5
A38B28,-9.9
A38B29,-11
A38B30,-10.7
A38B31,-10.5
A38B32,-10.5
A38B33,-11.1
A38B34,-9.7
A38B35,-9.5
A38B36,-9
A38B37,-9.2
A38B38,-11.6
A38B39,-9.5
A38B40,-10.7
A38B41,-11
A38B42,-12.2
A38B43,-11.2
A38B44,-10.9
A38B45,-11.3
A38B46,-10.9
A38B47,-11.2
A38B48,-11.5
A38B49,-9.4
A38B50,-9.8
A39B01,-10.5
A39B02,-10.8
A39B03,-10.9
A39B04,-11
A39B05,-10
A39B06,-10.1
A39B07,-10.6
A39B08,-11.1
A39B09,-10.2
A39B10,-11.2
A39B11,-10.6
A39B12,-10.8
A39B13,-10.3
A39B14,-10.8
A39B15,-10.6
A39B16,-8.6
A39B17,-10.7
A39B18,-11.1
A39B19,-11
A39B20,-11.3
A39B21,-9.2
A39B22,-9.1
A39B23,-11.4
A39B24,-10.4
A39B25,-10.6
A39B26,-10.5
A39B27,-11
A39B28,-10.4
A39B29,-10.7
A39B30,-11.2
A39B31,-10.2
A39B32,-9.3
A39B33,-10.5
A39B34,-9.4
A39B35,-9.3
A39B36,-9.6
A39B37,-8.6
A39B38,-11
A39B39,-9.5
A39B40,-10.5
A39B41,-10.6
A39B42,-11.3
A39B43,-10.9
A39B44,-10.9
A39B45,-10.7
A39B46,-10.9
A39B47,-10.5
A39B48,-11.4
A39B49,-10.1
A39B50,-9.4
A40B01,-10.4
A40B02,-10.5
A40B03,-10.7
A40B04,-10.5
A40B05,-10
A40B06,-9.5
A40B07,-10.2
A40B08,-11
A40B09,-9.8
A40B10,-10.8
A40B11,-10.2
A40B12,-10.1
A40B13,-9.9
A40B14,-10.4
A40B15,-10.5
A40B16,-9.1
A40B17,-10.3
A40B18,-10.7
A40B19,-10.6
A40B20,-11.3
A40B21,-9.5
A40B22,-9.6
A40B23,-11
A40B24,-9.9
A40B25,-10.9
A40B26,-11
A40B27,-10.7
A40B28,-9.7
A40B29,-10.6
A40B30,-11
A40B31,-10.3
A40B32,-9.2
A40B33,-10.5
A40B34,-9.1
A40B35,-10.7
A40B36,-8.7
A40B37,-10.4
A40B38,-10.5
A40B39,-10.2
A40B40,-10.5
A40B41,-10.8
A40B42,-10.3
A40B43,-10.3
A40B44,-10.7
A40B45,-10.8
A40B46,-9.7
A40B47,-10.5
A40B48,-10.8
A40B49,-9.7
A40B50,-9.6
A41B01,-10.1
A41B02,-10.6
A41B03,-10.5
A41B04,-10.7
A41B05,-9.7
A41B06,-8.7
A41B07,-10.2
A41B08,-11.2
A41B09,-9.8
A41B10,-10.8
A41B11,-10.7
A41B12,-10.5
A41B13,-10
A41B14,-9.9
A41B15,-10.2
A41B16,-8.9
A41B17,-10.2
A41B18,-10.1
A41B19,-10.4
A41B20,-11.4
A41B21,-9.7
A41B22,-8.6
A41B23,-10.3
A41B24,-9.9
A41B25,-10.1
A41B26,-10.5
A41B27,-10.6
A41B28,-9.3
A41B29,-9.5
A41B30,-10.7
A41B31,-10.2
A41B32,-9.9
A41B33,-10.3
A41B34,-9.9
A41B35,-9.4
A41B36,-8.9
A41B37,-9
A41B38,-10.7
A41B39,-8.1
A41B40,-10.3
A41B41,-9.9
A41B42,-11.3
A41B43,-10.4
A41B44,-10.2
A41B45,-10.9
A41B46,-10.3
A41B47,-10.7
A41B48,-10.9
A41B49,-7.9
A41B50,-9.5
A42B01,-10.2
A42B02,-10.1
A42B03,-10.4
A42B04,-10.2
A42B05,-8.8
A42B06,-8.4
A42B07,-10.1
A42B08,-10.6
A42B09,-7.9
A42B10,-10.6
A42B11,-10.3
A42B12,-9.9
A42B13,-9.3
A42B14,-9.8
A42B15,-9.9
A42B16,-7.7
A42B17,-10.1
A42B18,-10.5
A42B19,-10.2
A42B20,-9.7
A42B21,-8.6
A42B22,-7.9
A42B23,-10.5
A42B24,-9
A42B25,-9
A42B26,-10.1
A42B27,-10.3
A42B28,-9
A42B29,-10.4
A42B30,-9.9
A42B31,-9.2
A42B32,-10
A42B33,-10.2
A42B34,-7.7
A42B35,-8.5
A42B36,-9.1
A42B37,-9.1
A42B38,-10.4
A42B39,-7.8
A42B40,-10
A42B41,-10.5
A42B42,-11.1
A42B43,-10.2
A42B44,-9.5
A42B45,-10.4
A42B46,-10.2
A42B47,-10.1
A42B48,-10.5
A42B49,-9
A42B50,-7.9
A43B01,-10.5
A43B02,-10.5
A43B03,-10.7
A43B04,-10.6
A43B05,-11.3
A43B06,-9.9
A43B07,-10.4
A43B08,-10.7
A43B09,-9
A43B10,-10.8
A43B11,-10.9
A43B12,-10.8
A43B13,-9.5
A43B14,-10
A43B15,-10.6
A43B16,-9.2
A43B17,-10.4
A43B18,-11
A43B19,-10.3
A43B20,-11.1
A43B21,-9.2
A43B22,-9.3
A43B23,-11.2
A43B24,-9.8
A43B25,-11.1
A43B26,-9.5
A43B27,-10.6
A43B28,-10.2
A43B29,-10.9
A43B30,-9.9
A43B31,-9.5
A43B32,-10.3
A43B33,-10.7
A43B34,-9.4
A43B35,-9.6
A43B36,-8.6
A43B37,-9.1
A43B38,-11
A43B39,-9.5
A43B40,-10.3
A43B41,-10.5
A43B42,-11.7
A43B43,-10.8
A43B44,-10.1
A43B45,-11
A43B46,-10.6
A43B47,-10.4
A43B48,-11.1
A43B49,-9.1
A43B50,-9
A44B01,-10.7
A44B02,-11.3
A44B03,-11
A44B04,-11.3
A44B05,-11.8
A44B06,-10.5
A44B07,-10.8
A44B08,-11.3
A44B09,-9.7
A44B10,-11
A44B11,-11
A44B12,-11
A44B13,-11
A44B14,-10.5
A44B15,-10.8
A44B16,-9.9
A44B17,-10.9
A44B18,-11.3
A44B19,-11.1
A44B20,-11.9
A44B21,-9.7
A44B22,-9.1
A44B23,-11.4
A44B24,-10
A44B25,-11.3
A44B26,-11.5
A44B27,-11.1
A44B28,-10.1
A44B29,-11.2
A44B30,-11
A44B31,-10.4
A44B32,-10.1
A44B33,-11.2
A44B34,-9.8
A44B35,-10.4
A44B36,-10.1
A44B37,-9.5
A44B38,-10.7
A44B39,-9.6
A44B40,-11
A44B41,-11.1
A44B42,-11.5
A44B43,-10.7
A44B44,-10.8
A44B45,-11.3
A44B46,-11
A44B47,-11.1
A44B48,-11.5
A44B49,-9.3
A44B50,-10.1
A45B01,-10.1
A45B02,-10.8
A45B03,-10.7
A45B04,-10.6
A45B05,-9.2
A45B06,-9.3
A45B07,-10.3
A45B08,-11
A45B09,-9.2
A45B10,-10.5
A45B11,-10.6
A45B12,-10.2
A45B13,-9
A45B14,-10.3
A45B15,-10.5
A45B16,-9.3
A45B17,-10.5
A45B18,-10.4
A45B19,-9.7
A45B20,-11.6
A45B21,-10
A45B22,-9.8
A45B23,-11.1
A45B24,-9.4
A45B25,-10.9
A45B26,-10.8
A45B27,-10.9
A45B28,-9.2
A45B29,-10.5
A45B30,-10.4
A45B31,-10.3
A45B32,-10.1
A45B33,-9.8
A45B34,-8.6
A45B35,-9.2
A45B36,-9
A45B37,-9.5
A45B38,-10.5
A45B39,-9.2
A45B40,-10.7
A45B41,-10.7
A45B42,-11.3
A45B43,-10.6
A45B44,-10.3
A45B45,-10
A45B46,-10.6
A45B47,-10.3
A45B48,-10.8
A45B49,-9
A45B50,-9.6
A46B01,-10.2
A46B02,-10.5
A46B03,-10.6
A46B04,-10.6
A46B05,-8.9
A46B06,-9.2
A46B07,-10
A46B08,-10.8
A46B09,-8.2
A46B10,-8.4
A46B11,-10.6
A46B12,-10.5
A46B13,-8.1
A46B14,-9.5
A46B15,-10.4
A46B16,-9.8
A46B17,-10.3
A46B18,-10.6
A46B19,-10.6
A46B20,-11.2
A46B21,-8.9
A46B22,-8.8
A46B23,-10.8
A46B24,-7.8
A46B25,-10.8
A46B26,-9.2
A46B27,-9.3
A46B28,-8.4
A46B29,-10.5
A46B30,-10.7
A46B31,-10.5
A46B32,-10.6
A46B33,-10.2
A46B34,-7.5
A46B35,-9.2
A46B36,-7.7
A46B37,-9.3
A46B38,-10.6
A46B39,-8.3
A46B40,-10.1
A46B41,-10.4
A46B42,-11.2
A46B43,-10.7
A46B44,-10.9
A46B45,-10.4
A46B46,-8.3
A46B47,-10.4
A46B48,-10.9
A46B49,-8.2
A46B50,-9.2
A47B01,-10.2
A47B02,-10.5
A47B03,-10.2
A47B04,-10.6
A47B05,-9.2
A47B06,-9.1
A47B07,-10.3
A47B08,-10.8
A47B09,-10.1
A47B10,-10.4
A47B11,-10.5
A47B12,-10.1
A47B13,-7.9
A47B14,-10.5
A47B15,-10.6
A47B16,-7.9
A47B17,-10.2
A47B18,-10.6
A47B19,-10.4
A47B20,-11
A47B21,-9.4
A47B22,-8.3
A47B23,-10.6
A47B24,-8.1
A47B25,-10.7
A47B26,-10.2
A47B27,-10.7
A47B28,-8.2
A47B29,-10.5
A47B30,-10.9
A47B31,-8.4
A47B32,-10.5
A47B33,-10.2
A47B34,-8
A47B35,-9.5
A47B36,-9
A47B37,-8.2
A47B38,-10.3
A47B39,-9.3
A47B40,-10.4
A47B41,-10.5
A47B42,-10.8
A47B43,-10.8
A47B44,-10.7
A47B45,-10.5
A47B46,-10.1
A47B47,-10.5
A47B48,-10.8
A47B49,-10.1
A47B50,-9.9
A48B01,-10.6
A48B02,-10.5
A48B03,-9.2
A48B04,-10.7
A48B05,-9.1
A48B06,-8.9
A48B07,-10.4
A48B08,-11
A48B09,-8.5
A48B10,-10.6
A48B11,-10.4
A48B12,-10.2
A48B13,-10.4
A48B14,-10.6
A48B15,-10.9
A48B16,-9.8
A48B17,-10.5
A48B18,-10.6
A48B19,-10.5
A48B20,-11.7
A48B21,-8.9
A48B22,-8.2
A48B23,-10.8
A48B24,-10.4
A48B25,-10.5
A48B26,-10.8
A48B27,-10.9
A48B28,-8.5
A48B29,-10.6
A48B30,-10.8
A48B31,-10.5
A48B32,-10.7
A48B33,-10.1
A48B34,-9
A48B35,-8.8
A48B36,-9.3
A48B37,-9.5
A48B38,-10.5
A48B39,-10.7
A48B40,-10.7
A48B41,-10.4
A48B42,-11.4
A48B43,-11.3
A48B44,-11
A48B45,-10.3
A48B46,-10.2
A48B47,-10.5
A48B48,-11.1
A48B49,-8.3
A48B50,-9.8
A49B01,-9.7
A49B02,-10.5
A49B03,-10.1
A49B04,-10.5
A49B05,-10.6
A49B06,-9.1
A49B07,-9.2
A49B08,-9
A49B09,-9.4
A49B10,-10.1
A49B11,-10.4
A49B12,-10.1
A49B13,-9.5
A49B14,-9.7
A49B15,-10.1
A49B16,-8
A49B17,-10.1
A49B18,-10.5
A49B19,-10.6
A49B20,-10.1
A49B21,-9.1
A49B22,-8.6
A49B23,-10.8
A49B24,-8.8
A49B25,-10.5
A49B26,-10.5
A49B27,-10.3
A49B28,-9.5
A49B29,-10.5
A49B30,-10.6
A49B31,-9.8
A49B32,-8
A49B33,-10.1
A49B34,-7.9
A49B35,-8.8
A49B36,-8.1
A49B37,-7.9
A49B38,-10.6
A49B39,-8.3
A49B40,-9.9
A49B41,-10.2
A49B42,-9.7
A49B43,-9.5
A49B44,-10.2
A49B45,-10.2
A49B46,-10.3
A49B47,-10
A49B48,-10.8
A49B49,-7.9
A49B50,-8.3
A50B01,-10
A50B02,-10.5
A50B03,-9.6
A50B04,-10.4
A50B05,-9.5
A50B06,-9.2
A50B07,-10.1
A50B08,-10.7
A50B09,-8.6
A50B10,-10.4
A50B11,-10.4
A50B12,-10.3
A50B13,-7.8
A50B14,-9.9
A50B15,-10.1
A50B16,-9
A50B17,-10
A50B18,-10.5
A50B19,-10.3
A50B20,-10.9
A50B21,-9
A50B22,-8.4
A50B23,-10.5
A50B24,-8.5
A50B25,-10
A50B26,-9.1
A50B27,-10.5
A50B28,-8.1
A50B29,-10.5
A50B30,-9.8
A50B31,-9.9
A50B32,-8.9
A50B33,-10.2
A50B34,-8.9
A50B35,-8.7
A50B36,-8.8
A50B37,-8.2
A50B38,-8.4
A50B39,-7.8
A50B40,-10
A50B41,-10.4
A50B42,-11.3
A50B43,-8.5
A50B44,-10
A50B45,-9.3
A50B46,-10.1
A50B47,-10.4
A50B48,-10.7
A50B49,-8.3
A50B50,-8.3
